Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
24,dc_sweep,gm_nmos_svt,0,,,
24,dc_sweep,gmb_nmos_svt,0,,,
24,dc_sweep,gds_nmos_svt,812.9e-6,,,
24,dc_sweep,id_nmos_svt,-4.177e-15,,,
24,dc_sweep,sth_nmos_svt,14.31e-24,,,
24,dc_sweep,sfl_nmos_svt,0,,,
24,dc_sweep,cgg_pmos_svt,592e-15,,,
24,dc_sweep,cdd_pmos_svt,514.1e-15,,,
24,dc_sweep,css_pmos_svt,581.1e-15,,,
24,dc_sweep,gm_pmos_svt,0,,,
24,dc_sweep,gmb_pmos_svt,0,,,
24,dc_sweep,gds_pmos_svt,442.2e-6,,,
24,dc_sweep,id_pmos_svt,2.439e-9,,,
24,dc_sweep,sth_pmos_svt,8.916e-24,,,
24,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=600m, length=2u, sb=0",,,,,,
25,dc_sweep,cgg_nmos_svt,553.8e-15,,,
25,dc_sweep,cdd_nmos_svt,540.1e-15,,,
25,dc_sweep,css_nmos_svt,510e-15,,,
25,dc_sweep,gm_nmos_svt,0,,,
25,dc_sweep,gmb_nmos_svt,0,,,
25,dc_sweep,gds_nmos_svt,908.8e-6,,,
25,dc_sweep,id_nmos_svt,-5.441e-15,,,
25,dc_sweep,sth_nmos_svt,15.83e-24,,,
25,dc_sweep,sfl_nmos_svt,0,,,
25,dc_sweep,cgg_pmos_svt,817.1e-15,,,
25,dc_sweep,cdd_pmos_svt,725.5e-15,,,
25,dc_sweep,css_pmos_svt,815.7e-15,,,
25,dc_sweep,gm_pmos_svt,0,,,
25,dc_sweep,gmb_pmos_svt,0,,,
25,dc_sweep,gds_pmos_svt,515.2e-6,,,
25,dc_sweep,id_pmos_svt,3.25e-9,,,
25,dc_sweep,sth_pmos_svt,10.15e-24,,,
25,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=600m, length=2u, sb=250m",,,,,,
26,dc_sweep,cgg_nmos_svt,543.9e-15,,,
26,dc_sweep,cdd_nmos_svt,515.5e-15,,,
26,dc_sweep,css_nmos_svt,490.4e-15,,,
26,dc_sweep,gm_nmos_svt,0,,,
26,dc_sweep,gmb_nmos_svt,0,,,
26,dc_sweep,gds_nmos_svt,763.5e-6,,,
26,dc_sweep,id_nmos_svt,-5.515e-15,,,
26,dc_sweep,sth_nmos_svt,13.35e-24,,,
26,dc_sweep,sfl_nmos_svt,0,,,
26,dc_sweep,cgg_pmos_svt,803.4e-15,,,
26,dc_sweep,cdd_pmos_svt,702.3e-15,,,
26,dc_sweep,css_pmos_svt,786.4e-15,,,
26,dc_sweep,gm_pmos_svt,0,,,
26,dc_sweep,gmb_pmos_svt,0,,,
26,dc_sweep,gds_pmos_svt,431.4e-6,,,
26,dc_sweep,id_pmos_svt,3.258e-9,,,
26,dc_sweep,sth_pmos_svt,8.577e-24,,,
26,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=600m, length=2u, sb=500m",,,,,,
